City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,araouane,18.9048,-3.5265,297.15,13,35,4.86,ML,1675801302
245,livadiya,42.8692,132.6764,265.07,67,45,2.01,RU,1675801302
246,helong,42.5397,128.9972,260.13,93,8,2.58,CN,1675801303
247,jinchang,38.4953,102.1739,270.55,48,100,2.38,CN,1675801303
248,krasnoselkup,65.7,82.4667,247.6,100,91,4.21,RU,1675801304
249,thunder bay,48.4001,-89.3168,270.0,82,87,5.47,CA,1675801176
250,palu,-0.8917,119.8707,297.01,94,100,0.69,ID,1675801278
251,dikson,73.5069,80.5464,247.09,94,100,8.01,RU,1675801306
252,koungheul,13.9833,-14.8,302.2,14,1,3.78,SN,1675801306
253,clyde river,70.4692,-68.5914,241.07,96,97,1.43,CA,1675801255
254,villa maria,-32.4075,-63.2402,311.38,28,0,3.77,AR,1675801307
255,faanui,-16.4833,-151.75,299.76,76,23,5.54,PF,1675801307
256,escanaba,45.7453,-87.0646,277.73,63,100,6.17,US,1675801235
257,gat,31.61,34.7642,284.31,100,79,9.62,IL,1675801308
258,inhapim,-19.5492,-42.12,299.68,78,93,1.88,BR,1675801308
259,berlevag,70.8578,29.0864,276.15,75,0,11.32,NO,1675801309
260,tete,-16.1564,33.5867,297.39,86,83,1.53,MZ,1675801310
261,batemans bay,-35.7167,150.1833,292.09,92,96,1.96,AU,1675801310
262,port elizabeth,-33.918,25.5701,295.98,92,100,2.24,ZA,1675801311
263,laguna,38.421,-121.4238,288.32,61,0,0.89,US,1675801132
264,ubata,-14.2139,-39.5228,302.97,52,43,3.77,BR,1675801311
265,rebrikha,53.0733,82.3408,258.91,97,100,2.36,RU,1675801312
266,luderitz,-26.6481,15.1594,293.42,77,1,9.85,NA,1675801253
267,mitsamiouli,-11.3847,43.2844,300.7,77,98,4.07,KM,1675801312
268,qujing,25.4833,103.7833,279.18,61,0,3.41,CN,1675801313
269,lompoc,34.6391,-120.4579,293.71,48,0,2.68,US,1675801313
270,narasannapeta,18.4167,84.05,293.77,85,3,1.81,IN,1675801314
271,sagae,38.3725,140.2725,273.38,97,99,1.1,JP,1675801314
272,agadez,19.75,10.25,293.44,18,100,2.58,NE,1675801315
273,andros town,24.7,-77.7667,298.13,61,96,7.47,BS,1675801315
274,iqaluit,63.7506,-68.5145,240.2,67,100,2.68,CA,1675801212
275,east wenatchee bench,47.4257,-120.2812,279.36,79,40,0.0,US,1675801316
276,kruisfontein,-34.0033,24.7314,294.75,82,99,1.09,ZA,1675801298
277,vao,-22.6667,167.4833,299.25,71,74,5.0,NC,1675801116
278,qandala,11.472,49.8728,297.27,82,92,2.41,SO,1675801054
279,santa marta,11.2408,-74.199,304.2,58,12,9.39,CO,1675801317
280,beira,-19.8436,34.8389,299.4,85,25,4.0,MZ,1675801318
281,raga,8.4596,25.678,297.17,14,41,2.01,SS,1675801318
282,bonthe,7.5264,-12.505,298.36,72,100,3.96,SL,1675801319
283,porto walter,-8.2686,-72.7439,295.78,93,100,0.92,BR,1675801319
284,cururupu,-1.8283,-44.8683,299.76,80,100,2.24,BR,1675801320
285,the valley,18.217,-63.0578,299.72,78,20,7.2,AI,1675801320
286,soe,-9.8607,124.284,292.07,92,65,1.39,ID,1675801321
287,yuanping,38.7153,112.7575,271.34,49,8,2.11,CN,1675801322
288,great yarmouth,52.6083,1.7305,277.01,83,75,2.31,GB,1675801323
289,sao miguel do araguaia,-13.275,-50.1628,303.53,61,34,0.52,BR,1675801325
290,ustrzyki dolne,49.4304,22.5938,268.22,100,100,2.97,PL,1675801326
291,oussouye,12.485,-16.5469,295.65,50,39,5.65,SN,1675801326
292,anadyr,64.75,177.4833,242.43,76,20,4.0,RU,1675801327
293,casablanca,33.5928,-7.6192,288.33,77,1,2.68,MA,1675801238
294,oktyabrskiy,54.4815,53.471,250.91,100,93,1.11,RU,1675801330
295,kokopo,-4.352,152.2633,298.7,85,100,2.51,PG,1675801333
296,west helena,34.5507,-90.6418,294.01,65,100,4.05,US,1675801334
297,ukiah,39.1502,-123.2078,286.17,62,0,0.0,US,1675801322
298,alice springs,-23.7,133.8833,296.9,83,40,0.0,AU,1675801245
299,envira,-7.3,-70.2167,298.4,95,81,1.02,BR,1675801335
300,maymyo,22.0333,96.4667,285.4,36,0,0.65,MM,1675801336
301,cabedelo,-6.9811,-34.8339,302.52,61,79,6.39,BR,1675801337
302,pringsewu,-5.3582,104.9744,296.43,96,100,0.27,ID,1675801337
303,ngunguru,-35.6167,174.5,291.91,66,100,3.03,NZ,1675801338
304,gallup,35.5281,-108.7426,277.57,59,40,0.89,US,1675801340
305,blairmore,49.6,-114.4353,276.77,78,40,5.54,CA,1675801341
306,grindavik,63.8424,-22.4338,271.41,59,75,13.38,IS,1675801342
307,victoria,22.2855,114.1577,292.25,92,95,3.58,HK,1675801218
308,marilandia,-19.4128,-40.5417,301.66,72,96,1.65,BR,1675801345
309,comodoro rivadavia,-45.8667,-67.5,293.9,47,4,5.54,AR,1675801081
310,belmonte,-15.8631,-38.8828,300.98,70,9,5.58,BR,1675801346
311,omboue,-1.5746,9.2618,299.16,82,71,2.2,GA,1675801118
312,manokwari,-0.8667,134.0833,298.45,84,100,3.01,ID,1675801348
313,mayya,61.7333,130.2811,225.77,100,100,0.77,RU,1675801349
314,eyl,7.9803,49.8164,296.87,77,13,6.12,SO,1675801071
315,fernie,49.5,-115.0687,275.36,97,100,3.1,CA,1675801350
316,bealanana,-14.55,48.7333,291.34,98,100,0.75,MG,1675801333
317,jadu,31.953,12.0261,283.72,44,100,9.74,LY,1675801352
318,baykit,61.67,96.37,256.72,99,100,0.87,RU,1675801225
319,amalapuram,16.5833,82.0167,292.48,91,51,0.61,IN,1675801353
320,morondava,-20.2833,44.2833,299.66,78,100,0.85,MG,1675801354
321,rudsar,37.1376,50.288,283.26,86,96,3.26,IR,1675801355
322,byron bay,-28.65,153.6167,292.01,74,94,2.81,AU,1675801355
323,srednekolymsk,67.45,153.6833,237.88,99,100,2.38,RU,1675801356
324,katsuura,35.1333,140.3,283.29,84,100,7.45,JP,1675801069
325,yaan,7.3833,8.5667,303.78,11,23,1.82,NG,1675801296
326,husavik,66.0449,-17.3389,268.69,63,6,7.9,IS,1675801357
327,san jeronimo,-11.9472,-75.2829,289.41,54,95,2.72,PE,1675801358
328,waingapu,-9.6567,120.2641,299.01,87,96,3.37,ID,1675801358
329,bethel,41.3712,-73.414,277.79,50,0,5.14,US,1675801241
330,coihaique,-45.5752,-72.0662,297.12,46,40,4.12,CL,1675801202
331,lyubech,51.7026,30.6569,264.11,96,7,2.42,UA,1675801359
332,labuhan,-6.8844,112.2051,297.65,90,100,3.44,ID,1675801232
333,asau,46.4333,26.4,269.66,96,100,2.13,RO,1675801360
334,shache,38.4167,77.2406,272.56,63,0,2.3,CN,1675801360
335,port hardy,50.6996,-127.4199,280.22,80,97,5.21,CA,1675801312
336,bubaque,11.2833,-15.8333,297.2,68,66,7.15,GW,1675801361
337,airai,-8.9266,125.4092,289.45,94,92,0.44,TL,1675801302
338,belyy yar,53.6039,91.3903,257.09,92,100,1.0,RU,1675801361
339,ormara,25.2088,64.6357,294.81,68,1,3.69,PK,1675801362
340,faya,18.3851,42.4509,285.44,82,27,2.72,SA,1675801141
341,hearst,49.6835,-83.6665,272.82,91,100,5.4,CA,1675801323
342,belaya gora,68.5333,146.4167,230.37,100,99,0.99,RU,1675801363
343,kisangani,0.5167,25.2,299.72,44,90,0.75,CD,1675801363
344,unai,-16.3575,-46.9061,302.33,55,62,0.74,BR,1675801064
345,luoyang,34.6836,112.4536,278.33,65,100,2.16,CN,1675801364
346,riyadh,24.6877,46.7219,289.23,31,98,4.29,SA,1675801292
347,codrington,-38.2667,141.9667,285.24,88,100,3.7,AU,1675801311
348,liku,-0.7275,119.8922,296.88,91,100,1.28,ID,1675801365
349,petropavlovsk-kamchatskiy,53.0452,158.6483,249.48,77,0,2.0,RU,1675801365
350,neringa,55.3719,21.0647,275.17,90,43,3.8,LT,1675801366
351,banda aceh,5.5577,95.3222,298.4,85,98,2.6,ID,1675801242
352,manta,-0.95,-80.7333,302.03,74,40,4.63,EC,1675801367
353,lunca bradului,46.956,25.1114,268.3,95,81,1.73,RO,1675801367
354,tigzirt,36.8886,4.1198,285.67,66,99,3.95,DZ,1675801368
355,ahuimanu,21.4447,-157.8378,298.99,81,40,5.66,US,1675801368
356,longyearbyen,78.2186,15.6401,267.06,86,75,20.06,SJ,1675801368
357,tiznit,29.5833,-9.5,282.97,77,12,1.62,MA,1675801369
